Year,p/kwh,efficiency,carbon_emission(kg/kwh),(pounds/t),work_price_65,work_price_28,work_price_22,non_work_price_65,non_work_price_28,non_work_price_22,electricity_work_price,electricity non work price
2061,14.79809483,0.156957172,0.0036512395399999997,429.3450922,6.314452013,8.813564726,9.701931476,7.577342415,10.57627767,11.64231777,2.31905544,2.435008212
2062,14.79809483,0.156957172,0.0036512395399999997,435.7852685,6.306743114,8.802804824,9.690087026,7.568091736,10.56336579,11.62810443,2.31905544,2.435008212
2063,14.79809483,0.156957172,0.0036512395399999997,442.3220476,6.299056821,8.792076477,9.67827731,7.558868186,10.55049177,11.61393277,2.31905544,2.435008212
2064,14.79809483,0.156957172,0.0036512395399999997,448.9568783,6.291393069,8.781379591,9.666502228,7.549671683,10.53765551,11.59980267,2.31905544,2.435008212
2065,14.79809483,0.156957172,0.0036512395399999997,455.6912315,6.283751792,8.770714074,9.654761676,7.54050215,10.52485689,11.58571401,2.31905544,2.435008212
2066,14.79809483,0.156957172,0.0036512395399999997,462.5265999,6.276132923,8.760079834,9.643055554,7.531359507,10.5120958,11.57166666,2.31905544,2.435008212
2067,14.79809483,0.156957172,0.0036512395399999997,469.4644989,6.268536396,8.74947678,9.63138376,7.522243676,10.49937214,11.55766051,2.31905544,2.435008212
2068,14.79809483,0.156957172,0.0036512395399999997,476.5064664,6.260962147,8.73890482,9.619746195,7.513154577,10.48668578,11.54369543,2.31905544,2.435008212
2069,14.79809483,0.156957172,0.0036512395399999997,483.6540634,6.25341011,8.728363862,9.608142758,7.504092132,10.47403663,11.52977131,2.31905544,2.435008212
2070,14.79809483,0.156957172,0.0036512395399999997,490.9088744,6.245880219,8.717853817,9.596573348,7.495056263,10.46142458,11.51588802,2.31905544,2.435008212
2071,14.79809483,0.156957172,0.0036512395399999997,498.2725075,6.23837241,8.707374593,9.585037866,7.486046892,10.44884951,11.50204544,2.31905544,2.435008212
2072,14.79809483,0.156957172,0.0036512395399999997,505.7465951,6.230886619,8.696926099,9.573536213,7.477063942,10.43631132,11.48824346,2.31905544,2.435008212
2073,14.79809483,0.156957172,0.0036512395399999997,513.332794,6.223422779,8.686508247,9.562068288,7.468107335,10.4238099,11.47448195,2.31905544,2.435008212
2074,14.79809483,0.156957172,0.0036512395399999997,521.0327859,6.215980828,8.676120945,9.550633994,7.459176994,10.41134513,11.46076079,2.31905544,2.435008212
2075,14.79809483,0.156957172,0.0036512395399999997,528.8482777,6.208560701,8.665764104,9.539233232,7.450272841,10.39891693,11.44707988,2.31905544,2.435008212
2076,14.79809483,0.156957172,0.0036512395399999997,536.7810019,6.201162333,8.655437636,9.527865903,7.4413948,10.38652516,11.43343908,2.31905544,2.435008212
2077,14.79809483,0.156957172,0.0036512395399999997,544.8327169,6.193785662,8.64514145,9.516531909,7.432542795,10.37416974,11.41983829,2.31905544,2.435008212
2078,14.79809483,0.156957172,0.0036512395399999997,553.0052077,6.186430623,8.634875459,9.505231153,7.423716748,10.36185055,11.40627738,2.31905544,2.435008212
2079,14.79809483,0.156957172,0.0036512395399999997,561.3002858,6.179097153,8.624639573,9.493963537,7.414916584,10.34956749,11.39275624,2.31905544,2.435008212
2080,14.79809483,0.156957172,0.0036512395399999997,569.7197901,6.171785189,8.614433704,9.482728964,7.406142227,10.33732044,11.37927476,2.31905544,2.435008212
2081,14.79809483,0.156957172,0.0036512395399999997,578.2655869,6.164494668,8.604257764,9.471527336,7.397393602,10.32510932,11.3658328,2.31905544,2.435008212
2082,14.79809483,0.156957172,0.0036512395399999997,586.9395707,6.157225527,8.594111666,9.460358558,7.388670632,10.312934,11.35243027,2.31905544,2.435008212
2083,14.79809483,0.156957172,0.0036512395399999997,595.7436643,6.149977702,8.583995322,9.449222533,7.379973243,10.30079439,11.33906704,2.31905544,2.435008212
2084,14.79809483,0.156957172,0.0036512395399999997,604.6798192,6.142751133,8.573908645,9.438119165,7.371301359,10.28869037,11.325743,2.31905544,2.435008212
2085,14.79809483,0.156957172,0.0036512395399999997,613.7500165,6.135545755,8.563851547,9.427048359,7.362654906,10.27662186,11.31245803,2.31905544,2.435008212
2086,14.79809483,0.156957172,0.0036512395399999997,622.9562668,6.128361508,8.553823943,9.416010018,7.354033809,10.26458873,11.29921202,2.31905544,2.435008212
2087,14.79809483,0.156957172,0.0036512395399999997,632.3006108,6.121198329,8.543825744,9.405004047,7.345437994,10.25259089,11.28600486,2.31905544,2.435008212
2088,14.79809483,0.156957172,0.0036512395399999997,641.7851199,6.114056156,8.533856866,9.394030352,7.336867387,10.24062824,11.27283642,2.31905544,2.435008212
2089,14.79809483,0.156957172,0.0036512395399999997,651.4118967,6.106934928,8.523917223,9.383088838,7.328321913,10.22870067,11.25970661,2.31905544,2.435008212
2090,14.79809483,0.156957172,0.0036512395399999997,661.1830752,6.106934928,8.523917223,9.383088838,7.328321913,10.22870067,11.25970661,2.31905544,2.435008212
